date,purchases,revenue
2020-11-01,14,773.0
2020-11-02,49,4789.0
2020-11-03,49,3313.0
2020-11-04,46,2197.0
2020-11-05,26,1792.0
2020-11-06,58,3438.0
2020-11-07,31,2531.0
2020-11-08,32,3760.0
2020-11-09,52,2154.0
2020-11-10,64,4041.0
2020-11-11,64,4428.0
2020-11-12,54,3349.0
2020-11-13,79,5831.0
2020-11-14,30,2338.0
2020-11-15,21,1483.0
2020-11-16,69,5046.0
2020-11-17,98,6227.0
2020-11-18,68,4575.0
2020-11-19,84,5752.0
2020-11-20,118,8792.0
2020-11-21,68,4336.0
2020-11-22,60,3428.0
2020-11-23,141,8482.0
2020-11-24,147,10345.0
2020-11-25,108,8121.0
2020-11-26,57,4133.0
2020-11-27,97,6699.0
2020-11-28,78,6255.0
2020-11-29,51,3862.0
2020-11-30,141,11990.0
2020-12-01,107,6258.0
2020-12-02,82,5201.0
2020-12-03,90,4317.0
2020-12-04,96,6458.0
2020-12-05,87,6396.0
2020-12-06,42,2328.0
2020-12-07,110,8472.0
2020-12-08,122,8695.0
2020-12-09,150,10863.0
2020-12-10,143,10756.0
2020-12-11,160,10400.0
2020-12-12,106,6284.0
2020-12-13,74,4395.0
2020-12-14,99,8505.0
2020-12-15,139,9738.0
2020-12-16,143,11509.0
2020-12-17,126,6745.0
2020-12-18,107,6624.0
2020-12-19,52,2782.0
2020-12-20,20,1399.0
2020-12-21,53,3429.0
2020-12-22,60,3230.0
2020-12-23,67,4418.0
2020-12-24,23,1192.0
2020-12-25,17,552.0
2020-12-26,17,734.0
2020-12-27,20,1161.0
2020-12-28,36,2097.0
2020-12-29,24,1418.0
2020-12-30,37,1604.0
2020-12-31,25,2595.0
2021-01-01,14,975.0
2021-01-02,14,1026.0
2021-01-03,14,552.0
2021-01-04,16,834.0
2021-01-05,29,1143.0
2021-01-06,31,2000.0
2021-01-07,26,1452.0
2021-01-08,34,1699.0
2021-01-09,20,1363.0
2021-01-10,14,974.0
2021-01-11,28,1496.0
2021-01-12,48,2547.0
2021-01-13,36,1858.0
2021-01-14,54,3274.0
2021-01-15,47,2071.0
2021-01-16,27,1461.0
2021-01-17,14,481.0
2021-01-18,19,1223.0
2021-01-19,49,3756.0
2021-01-20,96,6706.0
2021-01-21,52,4206.0
2021-01-22,100,5552.0
2021-01-23,43,2747.0
2021-01-24,36,2408.0
2021-01-25,61,3353.0
2021-01-26,55,1259.0
2021-01-27,54,457.0
2021-01-28,69,128.0
2021-01-29,54,190.0
2021-01-30,31,159.0
2021-01-31,19,